,stateFIPS,countyFIPS,Life expectancy Under 1,Life expectancy 1-4,Life expectancy 5-14,Life expectancy 15-24,Life expectancy 25-34,Life expectancy 35-44,Life expectancy 45-54,Life expectancy 55-64,Life expectancy 65-74,Life expectancy 75-84,Life expectancy 85 and older
0,1,39,74.93076923076923,74.63846153846154,70.83846153846153,61.10000000000001,51.74615384615384,42.49230769230769,33.83076923076922,25.599999999999998,18.50769230769231,11.984615384615385,6.9692307692307685
0,1,41,74.51666666666667,74.28333333333333,70.6,60.76666666666666,51.36666666666667,42.43333333333334,33.3,24.78333333333333,17.3,10.733333333333334,7.300000000000001
0,1,43,75.15,74.83333333333333,70.99444444444444,61.111111111111114,51.71111111111111,42.35555555555556,33.49999999999999,25.166666666666668,17.58888888888889,10.81111111111111,5.9222222222222225
0,1,45,76.45384615384616,76.14615384615385,72.3076923076923,62.423076923076934,53.00000000000001,43.76153846153847,34.8,26.407692307692308,19.153846153846153,13.0,7.4923076923076914
0,1,47,72.47333333333334,72.28,68.53333333333333,58.75999999999999,49.36666666666667,40.40666666666666,31.919999999999995,24.040000000000003,16.806666666666665,10.906666666666668,5.9799999999999995
0,1,49,75.02142857142856,74.61428571428571,70.75714285714287,60.87857142857142,51.40714285714285,42.185714285714276,33.17142857142857,24.821428571428573,17.3,10.721428571428572,5.421428571428571
0,1,51,75.49230769230769,75.23076923076923,71.38461538461539,61.53846153846154,52.23846153846154,42.88461538461539,33.86153846153846,25.361538461538462,17.453846153846158,10.715384615384615,5.292307692307692
0,1,53,73.525,73.3375,69.55,59.775,50.425,41.2,32.4875,24.3125,17.525,11.725,7.4375
0,1,55,72.52142857142856,72.43928571428572,68.57857142857144,58.760714285714286,49.432142857142864,40.346428571428575,31.464285714285715,23.49285714285715,16.62857142857143,10.549999999999999,6.392857142857144
0,1,57,73.42,72.97999999999999,69.12,59.35999999999999,49.92,40.8,32.160000000000004,24.22,16.880000000000003,10.179999999999998,5.64
0,1,59,73.36666666666666,73.32222222222222,69.66666666666667,59.78888888888889,50.422222222222224,41.25555555555556,32.300000000000004,24.366666666666664,17.200000000000003,10.533333333333333,5.4222222222222225
0,1,61,74.81666666666666,74.31666666666666,70.41666666666666,60.61666666666667,51.333333333333336,41.93333333333333,32.93333333333333,24.766666666666666,17.099999999999998,10.716666666666667,5.283333333333334
0,1,63,75.45,75.35,71.5,61.599999999999994,52.15,43.349999999999994,34.650000000000006,26.9,19.5,13.149999999999999,8.649999999999999
0,1,65,75.48333333333333,75.21666666666667,71.35000000000001,61.5,52.199999999999996,43.449999999999996,34.583333333333336,26.016666666666662,18.9,12.700000000000001,8.133333333333333
0,1,67,75.81666666666666,75.68333333333334,71.88333333333334,62.06666666666667,52.63333333333333,43.68333333333334,34.51666666666666,26.183333333333334,18.53333333333333,12.133333333333333,7.366666666666666
0,1,69,75.9681818181818,75.81363636363636,71.99090909090908,62.218181818181826,52.804545454545455,43.49545454545455,34.404545454545456,26.10909090909091,18.572727272727274,12.036363636363633,7.109090909090909
0,1,71,73.57272727272726,73.44545454545454,69.65454545454546,59.83636363636363,50.527272727272724,41.29090909090909,32.400000000000006,24.336363636363636,17.063636363636366,10.709090909090907,6.654545454545453
0,1,73,74.16369426751592,74.20063694267516,70.35923566878982,60.507006369426755,51.242675159235674,42.17197452229299,33.313375796178335,25.1828025477707,17.845859872611467,11.455414012738853,6.361146496815287
0,1,75,74.86666666666667,74.83333333333333,70.93333333333332,61.06666666666666,51.699999999999996,42.4,33.06666666666667,25.03333333333333,17.766666666666666,11.866666666666667,6.433333333333333
0,1,77,74.65454545454546,74.36363636363635,70.47727272727273,60.627272727272725,51.18636363636363,41.918181818181814,32.918181818181814,24.84545454545454,17.568181818181817,11.013636363636364,5.990909090909091
