,Country,Deaths per million,drop_start_deaths,drop_end_deaths,drop_start_cases,drop_end_cases,Cases per million,drop_duration,retail,grocery and pharmacy,transit,work,residential
20,Hungary,"[1.0382925965570071, 1.3161455449314177, 1.1845309904382757, 1.0382925965570071, 1.0236687571688803]",0.014623839388126862,0.13161455449314177,0.45333902103193274,2.74928180496785,"[10.44142132312258, 7.692139518154729, 8.75967979348799, 6.609975403433341, 3.6413360076435883]",10,-53.0,-23.285714285714285,-51.857142857142854,-39.142857142857146,17.142857142857142
21,India,"[0.025453297629624505, 0.031156526144146178, 0.04678759688765002, 0.08058450660333401, 0.0814294293462261]",0.0002112306857230249,0.0024291528858147865,0.015631070743503842,0.08016204523188795,"[0.7320199413731429, 1.0696721925013981, 1.3550448489132048, 2.357968144726127, 2.7753599797148243]",10,-75.57142857142857,-61.857142857142854,-71.57142857142857,-65.42857142857143,28.142857142857142
22,Indonesia,"[0.12702519490568445, 0.08379393109324562, 0.08379393109324562, 0.05283821132631412, 0.0720521063540647]",0.0026685965316320262,0.03896150936182759,0.08859740485018328,0.4456556207825484,"[1.1213442625917776, 1.2254195273254265, 1.2681170718315389, 1.3663214241955974, 1.4293003023421131]",13,-37.42857142857143,-18.857142857142858,-49.142857142857146,-32.714285714285715,15.857142857142858
23,Ireland,"[5.18034945106839, 8.123729820993614, 14.039924364543308, 6.35770159903848, 4.562239573384094]",0.05886760739850444,2.9728141736244744,4.415070554887833,64.43059629766312,"[133.74720400940208, 164.71156550101543, 118.05898663770066, 66.04945550112198, 43.85636751188581]",20,-75.71428571428571,-26.428571428571427,-75.57142857142857,-65.0,28.285714285714285
24,Israel,"[0.8040317367407126, 0.9487574493540408, 0.9809187188236692, 0.385935233635542, 0.385935233635542]",0.0,0.08040317367407125,1.1578057009066263,31.13210884660039,"[61.315460243846736, 49.80172577371974, 33.6246072304966, 19.972148340639297, 7.654382133771583]",14,-65.42857142857143,-19.0,-54.42857142857143,-53.0,25.142857142857142
25,Italy,"[11.108248591804916, 9.314002862675329, 8.460613260282994, 6.408695878353505, 4.62390598969364]",1.3025420247040875,10.200487906711684,18.077203017989397,89.05037762359888,"[70.43182773871796, 63.59525507910956, 50.751859761110815, 41.48277214066666, 27.204453031387732]",14,-82.85714285714286,-50.857142857142854,-80.28571428571429,-64.28571428571429,29.571428571428573
26,Japan,"[0.016935686279734408, 0.01467759477576982, 0.02709709804757505, 0.044032784327309456, 0.07564606538281368]",0.0,0.006774274511893763,0.1106464836942648,0.33871372559468815,"[0.41097265372155495, 0.8580747715065433, 2.20502635362142, 4.73521788381374, 3.83423937373187]",14,-10.714285714285714,0.0,-20.428571428571427,-4.142857142857143,5.0
27,Mexico,"[0.2999992587188128, 0.510564776159187, 0.8060357441803574, 1.0618841685971563, 1.606411124988662]",0.0,0.2196220988356592,0.09735824999931283,2.636597258702321,"[2.959237970909346, 4.64376211043234, 8.208658962151365, 10.497709909809627, 13.923361822576146]",25,-59.42857142857143,-19.571428571428573,-59.0,-52.285714285714285,20.714285714285715
28,Moldova,"[0.6848989175817218, 1.410086006785898, 1.1683569770511726, 1.1683569770511726, 1.772679551387986]",0.0,0.040288171622454225,0.9266279473164472,3.223053729796338,"[32.14996095471847, 32.63341901418792, 37.70972863861716, 28.725466366809865, 32.47226632769811]",8,-59.0,-36.142857142857146,-57.285714285714285,-47.714285714285715,16.285714285714285
29,Netherlands,"[8.224371533861623, 7.942487832096205, 6.698883265484064, 4.792022930012115, 3.606453243175208]",0.09119766821822364,1.0280464417327029,6.392127472386402,22.152742679917598,"[64.55136770428084, 59.49404246672481, 46.43619451729733, 25.253463399337203, 17.791835999664357]",7,-36.57142857142857,4.285714285714286,-52.42857142857143,-36.42857142857143,14.428571428571429
